User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,cluster_kmeans,cluster_hierarchical,cluster_dbscan,cluster_gmm,cluster_spectral
U00001,53,1,8,8,0,3.7,23.9,37.9,104,3.9,469,5.2,4.1,803,0,0,0,0,0,0
U00002,60,2,3,6,0,9.2,28.1,13.7,169,2.8,4997,5.1,0.4,1526,2,0,0,0,0,0
U00003,37,0,0,3,0,4.5,12.3,66.8,96,3.0,2381,1.7,2.9,1619,1,0,0,0,0,0
U00004,32,1,9,7,0,11.0,25.6,156.2,146,5.2,1185,3.2,0.3,1560,1,0,0,0,0,0
U00005,16,1,8,9,0,2.2,2.5,236.2,86,5.5,106,3.4,2.3,742,3,0,0,0,0,0
U00006,21,1,5,5,0,5.4,10.6,210.6,25,4.2,6285,0.6,4.8,1749,1,0,0,0,0,0
U00007,57,0,7,0,1,6.0,35.2,154.5,123,0.8,2653,2.9,2.3,1073,3,1,1,1,1,1
U00008,56,2,6,6,0,3.1,43.5,125.3,188,2.3,9767,5.2,5.0,1136,1,0,0,0,0,0
U00009,46,0,6,5,0,5.3,46.4,21.3,194,3.7,2870,6.1,2.8,1253,1,0,0,0,0,0
U00010,44,2,6,0,1,9.9,10.6,180.2,84,4.8,9193,7.6,0.4,168,0,1,1,1,1,1
U00011,55,2,7,3,0,1.6,23.7,192.0,27,3.1,9330,1.2,2.3,1098,4,0,0,0,0,0
U00012,41,0,3,5,0,7.5,23.5,84.9,187,0.9,643,3.5,2.7,151,3,0,0,0,0,0
U00013,53,1,1,6,0,10.5,1.4,33.7,137,4.5,7854,7.2,1.4,240,0,0,0,0,0,0
U00014,35,1,5,6,0,10.3,32.4,247.1,124,5.2,3347,3.8,4.5,972,3,0,0,0,0,0
U00015,33,0,5,7,0,1.7,33.2,208.8,121,3.0,3185,4.2,0.5,1046,1,0,0,0,0,0
U00016,52,1,1,1,0,5.1,28.5,169.2,161,4.6,6175,4.4,4.3,1769,4,0,0,0,0,0
U00017,46,2,8,0,1,3.1,23.6,153.9,183,2.5,6242,6.2,0.4,1679,0,1,1,1,1,1
U00018,54,1,6,0,1,11.6,12.6,210.4,62,4.9,4642,0.9,4.1,1360,1,1,1,1,1,1
U00019,50,0,2,1,0,5.3,5.2,235.6,188,4.6,1120,1.0,0.8,1639,4,0,0,0,0,0
U00020,40,2,4,2,0,9.0,38.9,289.6,62,2.4,8012,7.7,2.0,1224,4,0,0,0,0,0
U00021,60,1,9,7,0,10.4,46.0,38.0,110,3.0,511,6.8,1.3,311,3,0,0,0,0,0
U00022,59,2,9,9,0,11.7,9.1,203.9,101,5.8,2579,2.6,4.1,446,2,0,0,0,0,0
U00023,46,2,2,7,0,8.1,15.5,206.8,77,5.9,1776,3.4,2.5,899,3,0,0,0,0,0
U00024,16,0,4,8,0,1.4,25.5,222.0,141,1.6,1119,2.8,0.4,1118,2,0,0,0,0,0
